,District_Number,Area,Belongs_To,Eligible_First_Votes_Final,Eligible_Second_Votes_Final,Voters_First_Votes_Final,Voters_Second_Votes_Final,Invalid_First_Votes_Final,Invalid_Second_Votes_Final,Valid_First_Votes_Final,Valid_Second_Votes_Final,CDU_First_Votes_Final,CDU_Second_Votes_Final,SPD_First_Votes_Final,SPD_Second_Votes_Final,AfD_First_Votes_Final,AfD_Second_Votes_Final,FDP_First_Votes_Final,FDP_Second_Votes_Final,Left_First_Votes_Final,Left_Second_Votes_Final,Greens_First_Votes_Final,Greens_Second_Votes_Final,CSU_First_Votes_Final,CSU_Second_Votes_Final,FW_First_Votes_Final,FW_Second_Votes_Final
11,12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,13,214853.0,214853.0,156565.0,156565.0,2957.0,2402.0,153608.0,154163.0,31754.0,26383.0,45189.0,49271.0,25393.0,24185.0,11769.0,13242.0,17906.0,16604.0,12061.0,12419.0,,,3552.0,2476.0
12,13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,13,205042.0,205042.0,146362.0,146362.0,2316.0,2258.0,144046.0,144104.0,26208.0,24621.0,50736.0,46846.0,24760.0,24673.0,10322.0,11638.0,14949.0,14979.0,8163.0,10147.0,,,3531.0,2384.0
13,14,Rostock – Landkreis Rostock II,13,222705.0,222705.0,165329.0,165329.0,2319.0,2352.0,163010.0,162977.0,27672.0,23103.0,43932.0,47280.0,19882.0,20658.0,12242.0,14852.0,29715.0,21491.0,16556.0,20941.0,,,2131.0,1871.0
14,15,Vorpommern-Rügen – Vorpommern-Greifswald I,13,241066.0,241066.0,168922.0,168922.0,2769.0,3143.0,166153.0,165779.0,33903.0,30910.0,40429.0,41583.0,33025.0,31303.0,11005.0,13776.0,22767.0,18857.0,12199.0,14654.0,,,1835.0,1975.0
15,16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,13,221421.0,221421.0,154240.0,154240.0,3572.0,3202.0,150668.0,151038.0,31182.0,28684.0,37392.0,40339.0,36597.0,35102.0,11165.0,11438.0,16202.0,15370.0,6112.0,6616.0,,,2468.0,2183.0
16,17,Mecklenburgische Seenplatte II – Landkreis Rostock III,13,209348.0,209348.0,143622.0,143622.0,3021.0,2824.0,140601.0,140798.0,29950.0,26402.0,43730.0,42049.0,30320.0,29421.0,9825.0,10609.0,14494.0,14434.0,7573.0,7179.0,,,4264.0,2455.0
17,18,Hamburg-Mitte,2,242078.0,242078.0,179637.0,179637.0,1439.0,1082.0,178198.0,178555.0,23231.0,19982.0,59229.0,51170.0,8664.0,9100.0,14424.0,18723.0,16195.0,15593.0,46326.0,49791.0,,,1340.0,974.0
18,19,Hamburg-Altona,2,187705.0,187705.0,152720.0,152720.0,837.0,625.0,151883.0,152095.0,25441.0,22478.0,43427.0,38865.0,5191.0,5036.0,12380.0,16543.0,14716.0,13667.0,45063.0,46162.0,,,756.0,524.0
19,20,Hamburg-Eimsbüttel,2,193823.0,193823.0,160970.0,160970.0,931.0,605.0,160039.0,160365.0,27462.0,23843.0,47375.0,44911.0,5450.0,5662.0,12957.0,18190.0,11351.0,10847.0,47734.0,47983.0,,,998.0,761.0
20,21,Hamburg-Nord,2,219909.0,219909.0,185457.0,185457.0,1234.0,766.0,184223.0,184691.0,43870.0,34387.0,56594.0,51575.0,6259.0,6811.0,15786.0,26247.0,9095.0,8741.0,47375.0,46531.0,,,1540.0,939.0
